filename,extension,center_r,center_c,radius, sigma, sample, alpha, beta, gamma, max_iter, accuracy
2,jpg,120,265,85, 3.5, 400, 0.015, 10, 0.001, 800, null
4,jpg,145,130,90, 3.5, 400, 0.015, 10, 0.001, 500, null
5,jpg,160,190,115, 3.5, 400, 0.015, 10, 0.001, 500, null
6,jpg,155,165,70, 3.5, 400, 0.015, 10, 0.001, 500, null
7,jpg,55,75,40, 3.5, 200, 0.015, 10, 0.001, 500, null
8,jpg,153,255,35, 3.5, 400, 0.015, 10, 0.001, 100, null
14,jpg,95,130,65, 3.5, 400, 0.015, 10, 0.001, 500, null
15,jpg,153,250,151, 3.5, 400, 0.015, 10, 0.001, 500, null
17,jpg,124,125,90, 3.5, 400, 0.015, 10, 0.001, 500, null
18,jpg,85,85,50, 3.5, 400, 0.015, 10, 0.001, 500, null
19,jpg,200,290,100, 3.5, 400, 0.015, 10, 0.001, 500, null
20,jpg,220,225,130, 3.5, 400, 0.015, 10, 0.001, 500, null
22,jpg,140,190,100, 3.5, 400, 0.015, 10, 0.001, 500, null
26,jpg,195,248,193, 3.5, 400, 0.015, 10, 0.001, 500, null
27,jpg,207,253,205, 3.5, 400, 0.015, 10, 0.001, 500, null
28,jpg,120,80,60, 3.5, 400, 0.015, 10, 0.001, 500, null
29,jpg,195,240,160, 3.5, 400, 0.015, 10, 0.001, 500, null
33,jpg,100,195,70, 3.5, 400, 0.015, 10, 0.001, 500, null
37,jpg,110,125,80, 3.5, 400, 0.015, 10, 0.001, 500, null
40,jpg,90,100,55, 3.5, 400, 0.015, 10, 0.001, 500, null
41,jpg,105,170,70, 5, 400, 0.015, 10, 0.001, 500, null
